family,setting,confidence_floor,external_class_aware_nms_iou,per_image_max_detections,operating_confidence_for_PRF1,matching_iou_for_PRF1,retained_predictions,avg_retained_detections_per_image,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1,scenario,evaluated_images
baseline_reproduction,frozen_raw_predictions,0.001,none,300,0.25,0.5,52039,260.195,0.28099091745546745,0.5080622955745175,0.28320616289378703,0.22699729918061198,0.39907302830910857,0.44754504065819545,764,491,560,0.6087649402390438,0.5770392749244713,0.5924777045366421,crowded_occluded,50
baseline_reproduction,frozen_raw_predictions,0.001,none,300,0.25,0.5,52039,260.195,0.41735659828444754,0.6172486007439685,0.427005432945861,0.32205404148974603,0.5769464184546265,0.60271080454733,291,255,62,0.532967032967033,0.8243626062322946,0.6473859844271412,daytime_normal,50
baseline_reproduction,frozen_raw_predictions,0.001,none,300,0.25,0.5,52039,260.195,0.18390728413454363,0.34328046125742523,0.1721328339206452,0.18580461910970386,0.33163822591183373,0.4309612502106449,315,443,276,0.4155672823218997,0.5329949238578681,0.46701260192735355,night_lowlight,50
baseline_reproduction,frozen_raw_predictions,0.001,none,300,0.25,0.5,52039,260.195,0.22199487873650678,0.45125759833841816,0.15561625304849924,0.2334447882411408,0.391933946499296,0.4284146188158346,496,461,303,0.5182863113897597,0.6207759699624531,0.5649202733485195,small_distant,50
confidence,conf_0.001,0.001,none,300,0.001,0.5,52039,260.195,0.28099091745546745,0.5080622955745175,0.28320616289378703,0.22699729918061198,0.39907302830910857,0.44754504065819545,1083,12107,241,0.0821076573161486,0.81797583081571,0.14923522116577098,crowded_occluded,50
confidence,conf_0.001,0.001,none,300,0.001,0.5,52039,260.195,0.41735659828444754,0.6172486007439685,0.427005432945861,0.32205404148974603,0.5769464184546265,0.60271080454733,327,11872,26,0.02680547585867694,0.9263456090651558,0.05210325047801147,daytime_normal,50
confidence,conf_0.001,0.001,none,300,0.001,0.5,52039,260.195,0.18390728413454363,0.34328046125742523,0.1721328339206452,0.18580461910970386,0.33163822591183373,0.4309612502106449,468,13326,123,0.033927794693344934,0.7918781725888325,0.06506777893639208,night_lowlight,50
confidence,conf_0.001,0.001,none,300,0.001,0.5,52039,260.195,0.22199487873650678,0.45125759833841816,0.15561625304849924,0.2334447882411408,0.391933946499296,0.4284146188158346,674,12182,125,0.05242688238954574,0.8435544430538173,0.09871841816184548,small_distant,50
confidence,conf_0.050,0.05,none,300,0.05,0.5,32588,162.94,0.2808946117787709,0.507996735341402,0.28320616289378703,0.22699729918061198,0.39907302830910857,0.44545099743057265,1067,8880,257,0.10726852317281592,0.8058912386706949,0.18933546269186408,crowded_occluded,50
confidence,conf_0.050,0.05,none,300,0.05,0.5,32588,162.94,0.41683745269794836,0.6165679192511924,0.4261906762222993,0.32205404148974603,0.5502797517879598,0.5716695092413288,322,5238,31,0.0579136690647482,0.9121813031161473,0.10891256553357011,daytime_normal,50
