model,scenario,evaluated_images,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1,operating_confidence_threshold,matching_iou_for_operating_metrics
yolo,daytime_normal,50,0.30556415574956264,0.4383119105407745,0.33143667689852635,0.2573530053318015,0.4144457867713683,0.4245309060904137,158,53,195,0.7488151658767772,0.4475920679886686,0.5602836879432623,0.25,0.5
yolo,night_lowlight,50,0.10636619161552893,0.194097262112283,0.10356743530238953,0.10738007284617454,0.1870251842588404,0.2201057437316517,124,72,467,0.6326530612244898,0.2098138747884941,0.31512071156289706,0.25,0.5
yolo,crowded_occluded,50,0.1511196025000132,0.2585652209573501,0.14936511002226688,0.11744747712099239,0.2064962155641588,0.2359099939824967,454,153,870,0.7479406919275123,0.3429003021148036,0.47022268254790256,0.25,0.5
yolo,small_distant,50,0.09101520745283262,0.17616980083545392,0.06252228257350796,0.07357022308997993,0.13808850116448904,0.1609797072228683,231,102,568,0.6936936936936937,0.28911138923654567,0.40812720848056533,0.25,0.5
rtdetr,daytime_normal,50,0.41735659828444754,0.6172486007439685,0.427005432945861,0.32205404148974603,0.5769464184546265,0.60271080454733,291,255,62,0.532967032967033,0.8243626062322946,0.6473859844271412,0.25,0.5
rtdetr,night_lowlight,50,0.18390728413454363,0.34328046125742523,0.1721328339206452,0.18580461910970386,0.33163822591183373,0.4309612502106449,315,443,276,0.4155672823218997,0.5329949238578681,0.46701260192735355,0.25,0.5
rtdetr,crowded_occluded,50,0.28099091745546745,0.5080622955745175,0.28320616289378703,0.22699729918061198,0.39907302830910857,0.44754504065819545,764,491,560,0.6087649402390438,0.5770392749244713,0.5924777045366421,0.25,0.5
rtdetr,small_distant,50,0.22199487873650678,0.45125759833841816,0.15561625304849924,0.2334447882411408,0.391933946499296,0.4284146188158346,496,461,303,0.5182863113897597,0.6207759699624531,0.5649202733485195,0.25,0.5
