model,evaluated_images,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1,operating_confidence_threshold,matching_iou_for_operating_metrics,mean_seconds_per_image
yolo,200,0.12688657813787965,0.2210190281419294,0.11957232166603488,0.12263506492872708,0.2057522234364274,0.2310155452456615,967,380,2100,0.7178916109873794,0.3152918161069449,0.43815133665609424,0.25,0.5,0.012868743499857373
rtdetr,200,0.2472969640240139,0.45633978269859576,0.2308790982251123,0.24643321406412058,0.40829110580934397,0.456133303402469,1866,1650,1201,0.5307167235494881,0.6084121291164004,0.5669147804952149,0.25,0.5,0.03475500700005796
